States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Sikkim,57.0,34.0,40.5,80.0,127.5,132.5,118.5,102.5,47.5,62.5,,185.0,140.5,167.0,200.0,,58.0,381.5,19.0,31.5,37.5,104.0
Tamil Nadu,55.15,43.58,52.46,82.38,164.88,132.73,118.65,92.13,41.81,44.81,213.73,184.38,126.31,,116.42,93.96,53.77,279.88,23.62,34.85,36.19,33.58
Telangana,47.0,36.0,47.67,73.0,134.0,120.67,108.33,91.33,39.0,57.0,167.0,157.33,105.33,118.0,113.67,97.67,54.0,288.0,18.67,22.0,22.33,61.0
Uttar Pradesh,36.65,25.54,31.87,74.63,137.72,110.55,106.85,91.6,42.28,61.88,192.64,141.22,130.43,135.28,163.56,113.63,48.3,240.22,26.68,20.0,30.25,58.6
Uttarakhand,34.0,23.0,28.0,77.0,152.0,112.0,113.0,108.0,40.0,63.0,171.0,138.0,137.0,138.0,141.0,89.0,51.0,217.0,28.0,17.0,22.0,42.0
West Bengal,41.92,28.83,38.62,74.08,132.08,110.0,115.23,105.23,43.62,55.08,202.44,132.08,113.62,115.92,135.23,102.92,51.85,274.69,21.38,20.77,34.46,81.15
2023-08-28,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.67,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.0,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175.0,119.2,98.6,58.2,325.0,21.2,32.8,30.0,48.6
Arunachal pradesh,34.5,42.0,38.25,88.25,134.5,120.75,116.75,102.5,51.0,71.33,,159.0,153.33,143.67,212.5,,70.0,316.5,21.0,24.33,41.0,104.33
Assam,41.74,31.2,36.44,76.81,135.31,108.0,109.81,91.11,45.0,70.35,199.5,147.19,138.7,140.85,155.0,115.53,56.73,257.56,13.46,22.0,35.33,85.96
Bihar,38.14,26.17,32.8,72.74,135.14,111.86,108.4,79.51,43.09,55.0,187.6,139.14,125.46,130.2,170.5,110.75,48.31,277.63,22.71,19.6,30.71,72.31
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,48.0
Chhattisgarh,37.44,33.44,36.0,77.11,137.0,103.89,106.44,88.89,41.44,59.0,194.0,146.89,127.22,129.78,142.11,118.11,48.33,283.22,23.33,23.44,29.67,46.78
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,88.0,41.0,53.0,218.0,144.0,130.0,130.0,144.0,104.0,60.0,243.0,26.0,27.0,38.0,43.0
DNH and DD,45.0,39.33,44.0,79.67,150.0,130.33,123.67,96.33,41.0,64.0,211.33,154.67,140.67,132.67,134.0,101.67,67.33,350.0,27.0,21.67,32.67,44.33
Goa,47.0,43.0,42.0,83.5,162.0,126.0,122.5,97.5,42.5,57.5,216.0,161.0,144.0,152.5,122.5,100.0,56.5,315.5,24.5,34.5,39.5,37.0
